user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,text,date,hashtags,source,is_retweet
Kings County REMO #KingsREMO,"Wolfville, Nova Scotia","We are all responsible for Emergency Preparedness. By failing to prepare, you are preparing to fail -- Benjamin Franklin (Account is not monitored 24/7)",1/23/2015 20:45,827,18,794,FALSE,"2023-01-18 N.L. reports 25 new COVID-19 hospitalizations for first 2 weeks of 2023.
The Health Department also repo… https://t.co/dZGFrAwHUs",1/18/2023 19:41,,Twitter Web App,FALSE
GuelphMercuryTribune,"Guelph, Ontario, Canada",News/events from #Guelph & surrounding areas. Email: newsroom@guelphmercury.com,8/5/2008 18:55,19461,463,159,FALSE,From our network: Canada appears to be in for another wave of COVID-19 cases and associated hospitalizations as a n… https://t.co/3pYU1eB8DG,1/18/2023 19:31,,Buffer,FALSE
Cue Health,"San Diego, CA","Healthcare technology company on a mission to empower people to live their healthiest lives through personalized, proactive, and informed diagnostics.",3/18/2014 22:35,4858,500,532,TRUE,"""Our molecular test can detect emerging #COVID19 variants with a very high degree of accuracy, including XBB.1.5.”… https://t.co/aTJTfN9TNJ",1/18/2023 19:30,['COVID19'],Sprinklr,FALSE
CNECT,"San Diego, CA",Group Purchasing Organization committed to making the process of accessing contracts as seamless as possible.,7/3/2018 14:40,129,573,1372,FALSE,"The XBB.1.5 #subvariant of #COVID19 remains the dominant strain across much of the U.S., including the North East a… https://t.co/LS4FpwAo31",1/18/2023 19:02,"['subvariant', 'COVID19']",HubSpot,FALSE
Unity Health Toronto,"Toronto, Canada","The official account for Unity Health Toronto, comprised of Providence Healthcare, St. Joseph's Health Centre and St. Michael’s Hospital. #BestCareExperiences",1/4/2011 20:12,32994,1156,4002,TRUE,"The COVID subvariant XBB.1.5, known as ‘Kraken,’ will become the next highly-transmissible dominant strain of COVID… https://t.co/nYFbyEULLN",1/18/2023 19:00,,Hootsuite Inc.,FALSE
NHH,"1000 DePalma Drive, Cobourg","Northumberland Hills Hospital. Providing acute, post-acute, outpatient and diagnostic services to west Northumberland.",9/26/2012 21:06,1198,798,2169,FALSE,"COVID-19’s newest subvariant, XBB.1.5 has already caused a global surge in infections. 

As Ontario braces for anot… https://t.co/MY4QFfC2JZ",1/18/2023 18:18,,Twitter Web App,FALSE
Illinois CEAL,,The Chicagoland COVID Collaborative aims to improve COVID-19 vaccination and engagement for low-income Black and Latinx communities.,6/4/2021 13:43,169,272,6305,FALSE,"The latest on XBB.1.5.

https://t.co/4H5NHdtRYs

#COVID19",1/18/2023 18:00,['COVID19'],Hootsuite Inc.,FALSE
Katherine Stiles,"London, GB","Educator, life-long learner, curious scientist, progressive thinker, visionary.
🇺🇸🇪🇺🇬🇧                 ▫️🏛️🎓🔬🧪🧫🧬🧠▫                  🔁≠endorsement",11/16/2021 13:24,621,549,18703,FALSE,FAQ on COVID-19 subvariant XBB.1.5: What is it? Where is it prevalent? How does it differ from Omicron? Does it cau… https://t.co/RHEQSpBXLk,1/18/2023 18:00,,Twitter Web App,FALSE
Durham County Department of Public Health,"Durham, NC","Located in Durham, NC, USA. Working with our community to prevent disease, promote health, and protect the environment. Follow/retweet ≠ endorsement.",4/11/2012 15:31,3863,178,438,FALSE,"XBB.1.5 is a highly transmissible Omicron subvariant of COVID-19, currently the most prominent in the US. Steps to… https://t.co/o8wJ0ZaEPq",1/18/2023 17:12,,Twitter Web App,FALSE
Temerty Medicine,Toronto,"We are solving today’s health issues. Follow us to find out what makes us one of the world’s top med schools and a great place to learn, teach and do research.",10/21/2009 14:28,30482,5117,28150,TRUE,What is the XBB.1.5 subvariant? How does it differ from Omicron? How likely is it to cause serious illness? This Q&amp;… https://t.co/i9UuThFooi,1/18/2023 17:09,,Twitter Web App,FALSE
San Antonio Current,"San Antonio, TX",San Antonio's FREE alternative newsweekly. Editor-in-Chief @Sanford_Nowlin,7/7/2008 14:09,139186,3376,1331,FALSE,"The new XBB.1.5. Omicron subvariant accounts of 80% of new COVID-19 cases in part of the Northeastern U.S., accordi… https://t.co/EmyrQnuRas",1/18/2023 17:00,,TweetDeck,FALSE
Thaddeaus,,Blue collar Red blooded American,5/15/2022 2:54,19,139,958,FALSE,"@DrEliDavid While you laugh, in your dishonesty you didn’t show the whole thing.

“New York City health officials a… https://t.co/fACnH8fasx",1/18/2023 16:58,,Twitter for iPhone,FALSE
madeline yakimchuk 🍁 unama'ki 💗💛💙,"Cape Breton, NS Canada",After 67yrs I'm back where I started. 32yrs of not looking back. 18yrs of being back. No one more surprised than me! They/Them. https://t.co/Np4SBICqBk,1/14/2009 15:39,604,917,13522,FALSE,I've stopped saying it but I still feel it. We are not getting enough covid contextual and comparative data to make… https://t.co/1TAlUngX1K,1/18/2023 16:58,,Twitter Web App,FALSE
Mun,,,12/24/2012 1:31,80,240,696,FALSE,@daveanthony @jimearl666 @TheNarrator000 Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19… https://t.co/Qazi87aSGx,1/18/2023 16:41,,Twitter for iPhone,FALSE
Joe Kopera,,GIS & Geology @umassgeo - Former bedrock mapper @massgeol - Cartographer @ https://t.co/AZiVoty07c - disability justice - perpetually grumpy - Nipmuc lands,11/19/2016 23:21,801,796,25861,FALSE,“This suggests that neither monovalent nor bivalent booster vaccines can be relied upon to provide adequate protect… https://t.co/6IwWeABKXM,1/18/2023 16:13,,Twitter for iPhone,FALSE
BCMHouston,"Houston, Texas","Baylor College of Medicine is a health sciences university that creates & applies science and discoveries to further education, healthcare & community service.",4/22/2009 15:19,27006,1903,16981,TRUE,What do we know about the newest COVID-19 variant? Dr. @PeterHotez and other experts share the latest updates.… https://t.co/zUlfx2nBVR,1/18/2023 15:45,,Twitter Web App,FALSE
Djibril Balla Bah,Mali,"ansa-géomecanismes
☆Every human being livs like an island, until comes the day he/she cross the burning water. @GB5E8C3F56°2O3RMCRD☆",1/15/2022 2:32,24,288,305,FALSE,"🔔 WHO COVID-19 Update
Much progress has been made since the start of the pandemic.
However:
• Omicron subvariant, X… https://t.co/jNr1paX27T",1/18/2023 15:43,,Twitter for Android,FALSE
Tufts Medical Center,"Boston, MA",Tufts Medical Center is an academic teaching hospital in Boston.,1/22/2010 19:42,23093,907,2317,TRUE,"Dr. Helen Boucher, #TuftsMedicine's Chief Academic Officer and Dean of @TuftsMedSchool, joined @WCVB to discuss the… https://t.co/SICe4UJpRV",1/18/2023 15:41,['TuftsMedicine'],Hootsuite Inc.,FALSE
Vance Burner ♟🦺♓,East Africa,"2A forever, veteran anachronism, GA DAWGS #1, ❤ blitz chess, Thoreau fan who said “government is best which governs least”, fave book? The Satanic Verses",6/10/2021 6:48,116,230,4500,FALSE,“Omicron subvariant XBB.1.5 now accounts for 73 percent of all sequenced COVID-19 cases in NYC. XBB.1.5 is the most… https://t.co/JvlYWKKrbN,1/18/2023 14:47,,Twitter Web App,FALSE
Pharmacy Practice News,New York,"Pharmacy Practice News is the No. 1-rated independent monthly newspaper providing hard-hitting, timely content to 38,000 U.S.-based health-system pharmacists.",3/24/2011 15:47,6767,1097,1431,FALSE,"Concerns of #Evusheld lacking protection against omicron XBB.1.5. 
https://t.co/sv5ysAh4bM",1/18/2023 14:02,['Evusheld'],Hootsuite Inc.,FALSE
Global New Brunswick,,"Official Twitter account for Global New Brunswick. Follow us for the latest news updates. 

Follow us on Instagram: https://t.co/ojvOYASy5S",3/25/2013 15:32,22314,154,395,TRUE,WATCH: We check in with Dr. Lisa Barrett to find out the latest on the new COVID-19 subvariant XBB.1.5 and what it… https://t.co/A23HMH56ZF,1/18/2023 13:33,,Twitter Media Studio,FALSE
Global Halifax,Atlantic Canada,"Your source for traffic, weather and breaking news from #Halifax and beyond.

https://t.co/9HWMLarkqH",4/14/2009 15:32,92978,451,3266,TRUE,WATCH: We check in with Dr. Lisa Barrett to find out the latest on the new COVID-19 subvariant XBB.1.5 and what it… https://t.co/Xi6ja8iyL8,1/18/2023 13:30,,Twitter Media Studio,FALSE
TWITER CESSPOOL Nyla Hates MAGA,,"Elon Musk’s Twitter Cesspool #BlockTrump✊🏼🌊Anti-GQP🌊🌊🌊Memes, I FB,🚫 DM's💙RESIST,✊🏼LEFTIST, ATHEIST, I BLOCK MAGAgts! Trumpism is Poison☠️#BlueCrew",11/20/2022 14:45,1298,1510,1717,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant https://t.co/IXWfIhYaiF",1/18/2023 13:22,,Twitter Web App,FALSE
Teresa MASIA PERALES,"Eaubonne, 95, France",Human rights activist,9/18/2009 17:37,783,959,6961,FALSE,FAQ on COVID-19 subvariant XBB.1.5: What is it? Where is it prevalent? How does it differ from Omicron? Does it cau… https://t.co/bD2MGtzUjK,1/18/2023 12:59,,Twitter for Android,FALSE
THE SMADE JOURNAL,,,10/30/2022 1:01,1,4,0,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant | PBS NewsHour https://t.co/12kydpVXhB",1/18/2023 12:42,,Jetpack.com,FALSE
Toronto Star,"8 Spadina Ave, Toronto, Canada","Get the latest news, alerts, sports, photos and more from Canada's largest daily newspaper. ⏩ Instagram: (@)thetorontostar | TikTok: (@)torontostar",1/29/2008 21:38,1188600,604,13741,TRUE,"It’s expected that by Wednesday of this week, about one in five COVID-19 cases in Ontario will be caused by the XBB… https://t.co/wkidC4RbCg",1/18/2023 11:25,,SocialFlow,FALSE
Misbar,"Amman, Jordan",Facts are your friends. Misbar is an independent fact-checking platform that exists to spread accuracy and honesty. submit@misbar.com,4/15/2020 5:11,4279,1,36,FALSE,A senior scientist at the World Health Organization (WHO) has reported that XBB.1.5 is the most transmittable Omicr… https://t.co/RUKbbMXScr,1/18/2023 10:58,,Twitter Web App,FALSE
Dr. Akbar Niazi Teaching Hospital,,"Dr. Akbar Niazi Teaching Hospital (ANTH) is a state-of-the-art 500-bedded hospital, owned by Islamabad Medical & Dental College.",3/24/2019 7:32,314,13,18,FALSE,The Aga Khan University Hospital (AKUH) has raised the alarm that the most infectious XBB.1.5 #COVID19 subvariant h… https://t.co/6TYwMEyVD7,1/18/2023 10:12,['COVID19'],Twitter Web App,FALSE
Dimsumdaily Hong Kong,Hong Kong,Leading international English news blog which reports breaking news in  Hong Kong and around the world.,9/8/2019 11:59,4232,44,6,FALSE,"COVID-19 cases in HK continue to fall to 3,793 today,  one new local XBB.1.5 subvariant recorded, 56 patients pass… https://t.co/nW5IO4unUJ",1/18/2023 8:53,,Zapier.com,FALSE
Howard Bailey,,Christian father enCOURAGEr THINKER communicator teacher athlete #PhotoJournalist bilingual: English-français IT Pro: Mac iPad iPhone expert; Android Windows AV,3/31/2009 3:48,206,1219,9401,FALSE,“#HighlyTransmissible extensively #DrugResistant &amp; profoundly #ImmuneSystem-evading XBB.1.5 SARS-CoV-2 #Subvariant… https://t.co/kkEZTJgdkk,1/18/2023 6:53,"['HighlyTransmissible', 'DrugResistant', 'ImmuneSystem', 'Subvariant']",Twitter for iPad,FALSE
Gregg Burke,,,9/28/2022 11:44,131,405,698,FALSE,"@AOC ""Omicron subvariant XBB.1.5 now accounts for 73% of all sequenced COVID-19 cases in NYC. XBB.1.5 is the most t… https://t.co/jpoOK1I5aJ",1/18/2023 4:49,,Twitter Web App,FALSE
Patrice Boivin 🇨🇦,,on Mastodon @patriceboivin@mastodon.sdf.org,1/26/2009 16:52,369,1040,42729,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant https://t.co/IDSZL8cmU0 Well first t… https://t.co/4xemFE1VG0",1/18/2023 3:45,,Twitter Web App,FALSE
"Celeste Kenney, NCC, MS","Georgia, USA","☆ @Celestial_Bean@newsie.social ☆ I support facts, research & science Pro-Mitigation strategies for SARS-CoV-2 • Progressive Christian • Democrat 💙 •",6/28/2011 4:34,1543,5011,49062,FALSE,"@NancyK07312478 @BenMazer @DrLeanaWen • How XBB.1.5, the latest COVID-19 subvariant, is shaping the course of the p… https://t.co/p2ePA7vMD0",1/18/2023 3:18,,Twitter for Android,FALSE
__peroon3__,,,4/24/2017 23:35,16,58,16,FALSE,The XBB.1.5 subvariant — nicknamed 'Kraken' — is arguably the most genetically rich and most transmissible SARS-CoV… https://t.co/1jmnUaExg2,1/18/2023 3:11,,IFTTT,FALSE
Dr. Syra Madad,NYC 🗽,Infectious Disease Epidemiologist▪️Sr Director Special Pathogens @NYCHealthSystem▪️Faculty @TheNETEC @BUCEID▪️Fellow @BelferCenter,12/26/2010 16:31,70598,1106,9261,TRUE,"“Although the highly transmissible omicron subvariant XBB.1.5 is gaining prevalence nationwide, COVID-19 cases are… https://t.co/mPXfcbA6KX",1/18/2023 2:43,,Twitter for iPhone,FALSE
Down To Earth,India,"India’s voice on #newsthatmatters. Follow us for the latest on all things science and environment.

Subscribe here : https://t.co/iNz7GVVAaG",8/17/2010 10:15,68287,738,1278,TRUE,"The recent emergence of the highly transmissible, drug-resistant and immune system-evading XBB.1.5 SARS-CoV-2 subva… https://t.co/3CALrgv2yU",1/18/2023 2:30,,Twitter Web App,FALSE
Holly,,"Family, “Be kind.” she/her/hers",2/4/2016 4:31,209,817,66388,FALSE,@asquared20me @LRP196111 @MelissaAFeinbe2 @MicheleMount @1goodtern “…This subvariant is the most transmissible form… https://t.co/TyG7d30d5z,1/18/2023 2:14,,Twitter for iPhone,FALSE
left.handed.right.brained,,Rule #1. Never try to have a rational conversation with a Liberal. Rule #2. Never try to have a rational conversation with a believer.,12/18/2014 18:59,109,521,129,FALSE,"@Holly_A_K @LRP196111 @MelissaAFeinbe2 @MicheleMount @1goodtern ""New York City health officials are warning residen… https://t.co/tlic5nTjSE",1/18/2023 2:09,,Twitter for Android,FALSE
PBS NewsHour,"Arlington, VA",PBS NewsHour is one of the most trusted news programs on TV and online.,4/18/2008 21:57,1203712,95838,19391,TRUE,"Despite intensive public health efforts to grind the COVID-19 pandemic to a halt, the recent emergence of the highl… https://t.co/eIve6qgWC6",1/18/2023 2:01,,Sprout Social,FALSE
Swaggering Toward Bethlehem,,For the many. Mastodon: @kindandunblind@ohai.social,9/14/2011 17:57,3632,2904,8967,FALSE,"TEXAS: McLennan County is seeing a slew of Coivd related hospitalizations but for now, they are currently manageabl… https://t.co/oeMy9RC1wU",1/18/2023 1:42,,Twitter Web App,FALSE
DriverCheck,Canada,Canada's Fitness for Duty experts and provider of workplace medical testing and assessments.,9/13/2013 12:53,1214,1496,3450,FALSE,"Cases of the new, highly transmissible Omicron subvariant XBB.1.5 have risen in Ontario, and it is projected to bec… https://t.co/NmwRvPtlCM",1/18/2023 0:49,,Hootsuite Inc.,FALSE
Neil Ackerman,"Westbury, NY (516-425-5365)","#Attorney (Rated 5.0 #AV in Martindale-Hubbell Directory of Attys) w Decades of Exp. in #Bankruptcy, #Reorganization #Chapter11 & #CommercialLitigation",7/2/2011 23:16,10836,8622,72815,FALSE,"What to know about XBB.1.5, a new and highly transmissible COVID-19 subvariant https://t.co/bdpcKEGi3F",1/18/2023 0:38,,Twitter for iPhone,FALSE
